time,x,y,force
960,23,83,48.63
961,23,84,50.20
962,23,85,7.84
963,23,78,4.71
964,23,79,9.41
965,23,80,4.71
966,23,81,3.14
967,23,82,10.98
968,23,83,50.20
969,23,84,53.33
970,23,85,7.84
971,23,78,1.57
972,23,79,6.27
973,23,80,3.14
974,23,81,1.57
975,23,82,10.98
976,23,83,53.33
977,23,84,58.04
978,23,85,9.41
979,23,79,3.14
980,23,80,1.57
981,23,82,9.41
982,23,83,54.90
983,23,84,62.75
984,23,85,10.98
985,23,79,1.57
986,23,82,7.84
987,23,83,56.47
988,23,84,67.45
989,23,85,12.55
990,23,82,6.27
991,23,83,56.47
992,23,84,70.59
993,23,85,14.12
994,23,82,4.71
995,23,83,58.04
996,23,84,75.29
997,23,85,15.69
998,23,86,1.57
999,23,82,3.14
1000,23,83,56.47
1001,23,84,78.43
1002,23,85,15.69
1003,23,86,1.57
1004,23,87,1.57
1005,23,82,1.57
1006,23,83,54.90
1007,23,84,81.57
1008,23,85,17.25
1009,23,86,1.57
1010,23,87,1.57
1011,23,83,51.76
1012,23,84,84.71
1013,23,85,18.82
1014,23,86,1.57
1015,23,87,1.57
1016,23,83,50.20
1017,23,84,86.27
1018,23,85,18.82
1019,23,86,3.14
1020,23,87,3.14
1021,23,83,47.06
1022,23,84,87.84
1023,23,85,20.39
1024,23,86,3.14
1025,23,87,3.14
1026,23,83,43.92
1027,23,84,87.84
1028,23,85,20.39
1029,23,86,3.14
1030,23,87,3.14
1031,23,83,37.65
1032,23,84,86.27
1033,23,85,20.39
1034,23,86,3.14
1035,23,87,3.14
1036,23,83,31.37
1037,23,84,81.57
1038,23,85,20.39
1039,23,86,3.14
1040,23,87,3.14
1041,23,83,23.53
1042,23,84,72.16
1043,23,85,17.25
1044,23,86,3.14
1045,23,87,3.14
1046,23,83,14.12
1047,23,84,59.61
1048,23,85,14.12
1049,23,86,3.14
1050,23,87,3.14
1051,23,83,6.27
1052,23,84,40.78
1053,23,85,9.41
1054,23,86,1.57
1055,23,87,3.14
1056,23,83,1.57
1057,23,84,20.39
1058,23,85,4.71
1059,23,86,1.57
1060,23,87,3.14
1061,23,84,4.71
1062,23,86,1.57
1063,23,87,1.57
1064,23,163,1.57
1065,23,163,3.14
1066,23,163,3.14
1067,23,163,3.14
1068,23,163,4.71
1069,23,163,4.71
1070,23,163,4.71
1071,23,163,4.71
1072,23,163,4.71
1073,23,163,6.27
1074,23,163,6.27
1075,23,163,6.27
1076,23,163,7.84
1077,23,163,7.84
1078,23,163,9.41
1079,23,162,1.57
1080,23,163,9.41
1081,23,162,1.57
1082,23,163,10.98
1083,23,162,1.57
1084,23,163,12.55
1085,23,164,1.57
1086,23,162,1.57
1087,23,163,12.55
1088,23,164,1.57
1089,23,162,3.14
1090,23,163,14.12
1091,23,164,1.57
1092,23,162,3.14
1093,23,163,14.12
1094,23,164,1.57
1095,23,162,3.14
1096,23,163,15.69
1097,23,164,1.57
1098,23,162,3.14
1099,23,163,17.25
1100,23,164,1.57
1101,23,162,3.14
1102,23,163,17.25
1103,23,164,3.14
1104,23,162,3.14
1105,23,163,18.82
1106,23,164,3.14
1107,23,162,4.71
1108,23,163,20.39
1109,23,164,3.14
1110,23,162,4.71
1111,23,163,21.96
1112,23,164,3.14
1113,23,162,4.71
1114,23,163,23.53
1115,23,164,3.14
1116,23,162,4.71
1117,23,163,25.10
1118,23,164,4.71
1119,23,162,4.71
1120,23,163,26.67
1121,23,164,4.71
1122,23,162,6.27
1123,23,163,28.24
1124,23,164,4.71
1125,23,162,6.27
1126,23,163,31.37
1127,23,164,4.71
1128,23,162,6.27
1129,23,163,32.94
1130,23,164,6.27
1131,23,162,6.27
1132,23,163,36.08
1133,23,164,6.27
1134,23,162,7.84
1135,23,163,39.22
1136,23,164,6.27
1137,23,162,7.84
1138,23,163,45.49
1139,23,164,7.84
1140,23,162,7.84
1141,23,163,51.76
1142,23,164,7.84
1143,23,162,9.41
1144,23,163,59.61
1145,23,164,9.41
1146,23,162,9.41
1147,23,163,69.02
1148,23,164,10.98
1149,23,162,9.41
1150,23,163,76.86
1151,23,164,12.55
1152,23,165,1.57
1153,23,162,9.41
